Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Sales_Rep
ORD-0024,01-08-2023,CUST-8896,Nisha Ghosh,East,Bhubaneswar,Wearables,Apple Watch Series 8,1,20500,10,Priya Patel
ORD-0025,01-08-2023,CUST-3979,Pooja Desai,Central,Raipur,Laptops,Lenovo ThinkPad,2,67100,5,Anjali Gupta
ORD-0026,01-09-2023,CUST-4723,Kunal Dixit,South,Chennai,Wearables,Mi Band 7,1,30200,10,Amit Kumar
ORD-0027,01-09-2023,CUST-2454,Ishita Bansal,North,Chandigarh,Accessories,USB-C Cable,2,2500,0,Rahul Sharma
ORD-0028,01-09-2023,CUST-3523,Aditya Rao,Central,Indore,Wearables,Apple Watch Series 8,1,24800,10,Kavya Iyer
ORD-0029,01-09-2023,CUST-1014,Anjali Gupta,Central,Bhopal,Wearables,Mi Band 7,1,33200,5,Rohan Mehta
ORD-0030,01-10-2023,CUST-1655,Divya Shah,East,Kolkata,Laptops,ASUS VivoBook,1,53600,15,Kavya Iyer
ORD-0031,01-10-2023,CUST-9670,Priya Singh,Central,Bhopal,Wearables,Apple Watch Series 8,1,28000,0,Rahul Sharma
ORD-0032,01-10-2023,CUST-3666,Manish Arora,North,Chandigarh,Accessories,Webcam,2,2100,15,Anjali Gupta
ORD-0033,01-10-2023,CUST-3178,Ananya Bose,North,Jaipur,Accessories,Mechanical Keyboard,2,1800,0,Kavya Iyer
ORD-0034,01-10-2023,CUST-9409,Mohit Saxena,Central,Raipur,Tablets,Lenovo Tab P11,1,23900,20,Anjali Gupta
ORD-0035,01-10-2023,CUST-3523,Aditya Rao,South,Kochi,Accessories,Wireless Mouse,2,1700,10,Vikram Singh
ORD-0036,01-11-2023,CUST-4921,Simran Kaur,North,Jaipur,Accessories,Wireless Mouse,2,2700,25,Rahul Sharma
ORD-0037,01-11-2023,CUST-0051,Sneha Sharma,East,Kolkata,Wearables,Mi Band 7,1,26100,0,Anjali Gupta
ORD-0038,01-12-2023,CUST-4996,Varun Chopra,South,Hyderabad,Accessories,Mechanical Keyboard,2,2000,25,Amit Kumar
ORD-0039,01-12-2023,CUST-7920,Sakshi Rathore,East,Kolkata,Smartphones,Realme GT,1,35000,10,Amit Kumar
ORD-0040,01-12-2023,CUST-3234,Nikhil Jain,South,Hyderabad,Laptops,ASUS VivoBook,1,55400,5,Priya Patel
ORD-0041,02-01-2023,CUST-3234,Nikhil Jain,West,Surat,Laptops,Acer Aspire,1,70400,20,Anjali Gupta
ORD-0042,02-01-2023,CUST-4996,Varun Chopra,South,Hyderabad,Tablets,Amazon Fire HD,2,44900,0,Rohan Mehta
ORD-0043,02-01-2023,CUST-7644,Siddharth Tiwari,East,Patna,Wearables,Mi Band 7,2,26500,0,Kavya Iyer
ORD-0044,02-02-2023,CUST-3585,Rahul Kapoor,East,Kolkata,Wearables,Fitbit Versa 4,1,29100,25,Rahul Sharma
ORD-0045,02-02-2023,CUST-7145,Kavya Iyer,South,Kochi,Tablets,Amazon Fire HD,1,45600,10,Amit Kumar
ORD-0046,02-03-2023,CUST-2255,Rajesh Kumar,South,Chennai,Laptops,Acer Aspire,2,57700,5,Kavya Iyer
ORD-0047,02-04-2023,CUST-4723,Kunal Dixit,North,Chandigarh,Smartphones,OnePlus Nord,1,45200,5,Anjali Gupta
ORD-0048,02-04-2023,CUST-3234,Nikhil Jain,West,Ahmedabad,Smartphones,Xiaomi 13,1,27100,5,Vikram Singh
ORD-0049,02-04-2023,CUST-7145,Kavya Iyer,East,Kolkata,Laptops,HP Pavilion,2,56100,5,Amit Kumar
ORD-0050,02-04-2023,CUST-4234,Sanjay Joshi,North,Delhi,Wearables,Fitbit Versa 4,1,19300,5,Vikram Singh
ORD-0051,02-04-2023,CUST-8896,Nisha Ghosh,Central,Nagpur,Laptops,Dell Inspiron,1,62000,25,Anjali Gupta
ORD-0052,02-04-2023,CUST-9646,Amit Patel,East,Kolkata,Wearables,Fitbit Versa 4,1,27000,5,Rahul Sharma
ORD-0053,02-04-2023,CUST-4813,Swati Nambiar,West,Ahmedabad,Smartphones,OnePlus Nord,1,30200,25,Priya Patel
ORD-0054,02-04-2023,CUST-1930,Ritika Menon,West,Pune,Laptops,Dell Inspiron,2,65800,5,Priya Patel
ORD-0055,02-04-2023,CUST-7344,Rohan Mehta,North,Jaipur,Laptops,ASUS VivoBook,1,64200,5,Rahul Sharma
ORD-0056,02-04-2023,CUST-9848,Karan Verma,South,Kochi,Laptops,Dell Inspiron,2,60000,5,Rohan Mehta
ORD-0057,02-05-2023,CUST-6348,Shreya Pandey,Central,Nagpur,Accessories,Webcam,3,1600,25,Rahul Sharma
ORD-0058,02-05-2023,CUST-5788,Neha Agarwal,East,Ranchi,Wearables,Samsung Galaxy Watch,1,35000,10,Kavya Iyer
ORD-0059,02-06-2023,CUST-3234,Nikhil Jain,East,Bhubaneswar,Accessories,USB-C Cable,1,2100,15,Vikram Singh
ORD-0060,02-07-2023,CUST-9670,Priya Singh,West,Mumbai,Tablets,Lenovo Tab P11,1,31100,0,Rohan Mehta
ORD-0061,02-08-2023,CUST-8896,Nisha Ghosh,North,Delhi,Accessories,Webcam,1,2500,0,Rohan Mehta
ORD-0062,02-08-2023,CUST-2605,Tanvi Kulkarni,South,Chennai,Accessories,USB-C Cable,1,2700,25,Kavya Iyer
ORD-0063,02-08-2023,CUST-7920,Sakshi Rathore,West,Pune,Smartphones,iPhone 14,1,41200,5,Kavya Iyer
ORD-0064,02-08-2023,CUST-9670,Priya Singh,North,Jaipur,Accessories,Wireless Mouse,3,1700,10,Vikram Singh
ORD-0065,02-09-2023,CUST-5788,Neha Agarwal,Central,Bhopal,Wearables,Samsung Galaxy Watch,1,21600,10,Kavya Iyer
ORD-0066,02-09-2023,CUST-4921,Simran Kaur,East,Bhubaneswar,Laptops,Lenovo ThinkPad,1,55200,10,Kavya Iyer
ORD-0067,02-09-2023,CUST-7344,Rohan Mehta,North,Jaipur,Accessories,Wireless Mouse,2,1900,0,Anjali Gupta
ORD-0068,02-09-2023,CUST-1014,Anjali Gupta,South,Hyderabad,Tablets,Lenovo Tab P11,1,25900,0,Sneha Reddy
ORD-0069,02-11-2023,CUST-0908,Gaurav Bhatt,South,Chennai,Laptops,Lenovo ThinkPad,2,63200,0,Amit Kumar
ORD-0070,02-11-2023,CUST-4996,Varun Chopra,Central,Bhopal,Wearables,Fitbit Versa 4,1,30500,0,Rohan Mehta
ORD-0071,02-11-2023,CUST-7920,Sakshi Rathore,South,Bangalore,Tablets,iPad Air,1,31000,15,Anjali Gupta
ORD-0072,02-11-2023,CUST-7862,Meera Chawla,Central,Bhopal,Smartphones,iPhone 14,1,26600,20,Rahul Sharma
ORD-0073,02-12-2023,CUST-3174,Pallavi Krishnan,North,Jaipur,Accessories,Laptop Bag,2,1200,25,Kavya Iyer
ORD-0074,02-12-2023,CUST-2454,Ishita Bansal,West,Surat,Accessories,Webcam,2,2100,15,Anjali Gupta
ORD-0075,02-12-2023,CUST-7644,Siddharth Tiwari,West,Ahmedabad,Smartphones,iPhone 14,1,21600,5,Amit Kumar
ORD-0076,02-12-2023,CUST-4234,Sanjay Joshi,Central,Raipur,Accessories,Mechanical Keyboard,2,2300,25,Anjali Gupta
ORD-0077,02-12-2023,CUST-7920,Sakshi Rathore,North,Delhi,Accessories,Mechanical Keyboard,2,3000,0,Kavya Iyer
ORD-0078,02-12-2023,CUST-7344,Rohan Mehta,North,Delhi,Accessories,USB-C Cable,3,1800,10,Rahul Sharma
ORD-0079,02-12-2023,CUST-4723,Kunal Dixit,North,Jaipur,Tablets,Samsung Tab S8,1,45000,5,Anjali Gupta
ORD-0080,03-01-2023,CUST-6348,Shreya Pandey,East,Bhubaneswar,Smartphones,Xiaomi 13,1,50900,5,Amit Kumar
ORD-0081,03-01-2023,CUST-9848,Karan Verma,West,Ahmedabad,Smartphones,iPhone 14,1,29800,25,Kavya Iyer
ORD-0082,03-01-2023,CUST-0208,Arjun Nair,East,Ranchi,Tablets,Amazon Fire HD,1,49700,10,Rahul Sharma
ORD-0083,03-01-2023,CUST-7862,Meera Chawla,East,Kolkata,Wearables,Apple Watch Series 8,1,26200,10,Rahul Sharma
ORD-0084,03-01-2023,CUST-9409,Mohit Saxena,East,Ranchi,Smartphones,Samsung Galaxy S23,1,23100,0,Rahul Sharma
ORD-0085,03-01-2023,CUST-7920,Sakshi Rathore,North,Jaipur,Tablets,iPad Air,1,20800,10,Sneha Reddy
ORD-0086,03-02-2023,CUST-4723,Kunal Dixit,East,Ranchi,Accessories,Webcam,2,1000,10,Priya Patel
ORD-0087,03-02-2023,CUST-7862,Meera Chawla,South,Hyderabad,Smartphones,Xiaomi 13,1,21500,10,Amit Kumar
ORD-0088,03-02-2023,CUST-9670,Priya Singh,East,Ranchi,Smartphones,Realme GT,2,36800,25,Amit Kumar
ORD-0089,03-03-2023,CUST-3979,Pooja Desai,Central,Raipur,Tablets,iPad Air,1,50000,0,Rohan Mehta
ORD-0090,03-03-2023,CUST-0208,Arjun Nair,West,Pune,Smartphones,iPhone 14,1,45900,5,Rahul Sharma
ORD-0091,03-03-2023,CUST-4234,Sanjay Joshi,South,Hyderabad,Laptops,Acer Aspire,1,47900,0,Sneha Reddy
ORD-0092,03-04-2023,CUST-7955,Riya Malhotra,Central,Indore,Wearables,Fitbit Versa 4,1,19000,0,Sneha Reddy
ORD-0093,03-04-2023,CUST-3234,Nikhil Jain,Central,Raipur,Accessories,Wireless Mouse,2,2200,15,Rohan Mehta
ORD-0094,03-05-2023,CUST-8941,Harsh Sinha,Central,Indore,Wearables,Fitbit Versa 4,2,32100,15,Priya Patel
ORD-0095,03-05-2023,CUST-9409,Mohit Saxena,East,Ranchi,Smartphones,OnePlus Nord,1,46700,15,Priya Patel
ORD-0096,03-06-2023,CUST-1014,Anjali Gupta,West,Ahmedabad,Tablets,Amazon Fire HD,1,23600,25,Sneha Reddy
ORD-0097,03-06-2023,CUST-0051,Sneha Sharma,East,Kolkata,Accessories,Wireless Mouse,2,1100,0,Sneha Reddy
ORD-0098,03-06-2023,CUST-1930,Ritika Menon,West,Mumbai,Tablets,Lenovo Tab P11,1,30900,5,Sneha Reddy
ORD-0099,03-07-2023,CUST-1014,Anjali Gupta,Central,Bhopal,Tablets,Lenovo Tab P11,1,20000,25,Vikram Singh
ORD-0100,03-07-2023,CUST-4559,Aarti Shetty,North,Chandigarh,Smartphones,iPhone 14,1,49900,10,Kavya Iyer
ORD-0101,03-07-2023,CUST-0051,Sneha Sharma,South,Hyderabad,Laptops,HP Pavilion,1,64600,5,Amit Kumar
ORD-0102,03-07-2023,CUST-8941,Harsh Sinha,West,Mumbai,Wearables,Fitbit Versa 4,1,11600,20,Sneha Reddy
ORD-0103,03-08-2023,CUST-9646,Amit Patel,West,Mumbai,Smartphones,OnePlus Nord,1,32600,0,Sneha Reddy
ORD-0104,03-08-2023,CUST-6769,Vikram Reddy,East,Kolkata,Tablets,Lenovo Tab P11,1,39100,20,Sneha Reddy
ORD-0105,03-08-2023,CUST-8896,Nisha Ghosh,Central,Indore,Accessories,Mechanical Keyboard,2,2600,5,Kavya Iyer
ORD-0106,03-09-2023,CUST-9409,Mohit Saxena,South,Chennai,Accessories,Mechanical Keyboard,2,2600,20,Vikram Singh
ORD-0107,03-09-2023,CUST-4234,Sanjay Joshi,South,Hyderabad,Tablets,iPad Air,1,28100,5,Priya Patel
ORD-0108,03-09-2023,CUST-9646,Amit Patel,South,Chennai,Accessories,Wireless Mouse,2,900,5,Amit Kumar
ORD-0109,03-09-2023,CUST-4559,Aarti Shetty,North,Chandigarh,Accessories,Mechanical Keyboard,2,1900,0,Rahul Sharma
ORD-0110,03-09-2023,CUST-9646,Amit Patel,Central,Indore,Smartphones,Xiaomi 13,2,31500,0,Vikram Singh
ORD-0111,03-10-2023,CUST-3174,Pallavi Krishnan,East,Patna,Smartphones,Samsung Galaxy S23,1,38000,25,Sneha Reddy
ORD-0112,03-10-2023,CUST-7145,Kavya Iyer,South,Chennai,Laptops,ASUS VivoBook,2,57200,20,Priya Patel
ORD-0113,03-11-2023,CUST-2605,Tanvi Kulkarni,Central,Indore,Laptops,Lenovo ThinkPad,1,50200,10,Vikram Singh
ORD-0114,03-11-2023,CUST-8941,Harsh Sinha,North,Delhi,Laptops,Acer Aspire,1,73000,0,Amit Kumar
ORD-0115,03-11-2023,CUST-0908,Gaurav Bhatt,East,Ranchi,Wearables,Mi Band 7,1,12500,5,Priya Patel
ORD-0116,03-11-2023,CUST-0208,Arjun Nair,North,Delhi,Smartphones,OnePlus Nord,1,40200,5,Vikram Singh
ORD-0117,03-12-2023,CUST-7626,Akash Pillai,Central,Nagpur,Smartphones,Samsung Galaxy S23,1,42500,25,Sneha Reddy
ORD-0118,03-12-2023,CUST-7862,Meera Chawla,West,Pune,Laptops,HP Pavilion,1,48200,10,Rohan Mehta
ORD-0119,03-12-2023,CUST-6316,Sameer Dutta,Central,Nagpur,Wearables,Mi Band 7,1,12600,10,Sneha Reddy
ORD-0120,03-12-2023,CUST-0208,Arjun Nair,East,Kolkata,Tablets,Amazon Fire HD,1,24800,0,Priya Patel
ORD-0121,04-01-2023,CUST-1655,Divya Shah,South,Chennai,Wearables,Mi Band 7,1,26400,0,Rahul Sharma
ORD-0122,04-02-2023,CUST-9409,Mohit Saxena,North,Chandigarh,Wearables,Mi Band 7,1,23900,20,Vikram Singh
ORD-0123,04-02-2023,CUST-9670,Priya Singh,Central,Bhopal,Smartphones,OnePlus Nord,1,60000,0,Anjali Gupta
ORD-0124,04-02-2023,CUST-6348,Shreya Pandey,South,Bangalore,Smartphones,Realme GT,1,40000,15,Rahul Sharma
ORD-0125,04-02-2023,CUST-6769,Vikram Reddy,Central,Raipur,Accessories,Mechanical Keyboard,3,1600,10,Vikram Singh
ORD-0126,04-03-2023,CUST-4234,Sanjay Joshi,South,Kochi,Accessories,Mechanical Keyboard,2,2000,0,Kavya Iyer
ORD-0127,04-03-2023,CUST-3174,Pallavi Krishnan,South,Kochi,Accessories,USB-C Cable,2,1200,25,Vikram Singh
ORD-0128,04-03-2023,CUST-3979,Pooja Desai,East,Patna,Wearables,Mi Band 7,1,26200,20,Sneha Reddy
ORD-0129,04-03-2023,CUST-1014,Anjali Gupta,South,Bangalore,Accessories,Mechanical Keyboard,2,2300,15,Anjali Gupta
ORD-0130,04-04-2023,CUST-7344,Rohan Mehta,Central,Nagpur,Wearables,Fitbit Versa 4,1,17500,25,Kavya Iyer
ORD-0131,04-04-2023,CUST-9670,Priya Singh,West,Surat,Wearables,Fitbit Versa 4,1,23400,0,Sneha Reddy
ORD-0132,04-04-2023,CUST-4559,Aarti Shetty,East,Ranchi,Smartphones,Samsung Galaxy S23,1,48500,15,Priya Patel
ORD-0133,04-04-2023,CUST-9646,Amit Patel,South,Chennai,Smartphones,iPhone 14,1,49700,0,Anjali Gupta
ORD-0134,04-04-2023,CUST-8896,Nisha Ghosh,North,Chandigarh,Tablets,Samsung Tab S8,1,32100,15,Priya Patel
ORD-0135,04-05-2023,CUST-4813,Swati Nambiar,East,Bhubaneswar,Smartphones,iPhone 14,1,60000,5,Anjali Gupta
ORD-0136,04-05-2023,CUST-7107,Yash Dhawan,North,Lucknow,Smartphones,Samsung Galaxy S23,2,57200,10,Anjali Gupta
ORD-0137,04-06-2023,CUST-8941,Harsh Sinha,South,Kochi,Accessories,Wireless Mouse,2,1700,5,Anjali Gupta
ORD-0138,04-07-2023,CUST-7955,Riya Malhotra,Central,Raipur,Tablets,iPad Air,1,32500,25,Rahul Sharma
ORD-0139,04-08-2023,CUST-6316,Sameer Dutta,East,Patna,Tablets,Samsung Tab S8,1,31000,0,Vikram Singh
ORD-0140,04-08-2023,CUST-6348,Shreya Pandey,Central,Bhopal,Laptops,ASUS VivoBook,1,51200,15,Priya Patel
ORD-0141,04-09-2023,CUST-1930,Ritika Menon,East,Patna,Accessories,Webcam,2,2000,5,Amit Kumar
ORD-0142,04-09-2023,CUST-2255,Rajesh Kumar,South,Kochi,Laptops,HP Pavilion,1,44000,10,Rohan Mehta
ORD-0143,04-10-2023,CUST-9409,Mohit Saxena,North,Chandigarh,Wearables,Fitbit Versa 4,1,29400,5,Anjali Gupta
ORD-0144,04-10-2023,CUST-3585,Rahul Kapoor,South,Bangalore,Smartphones,Realme GT,1,60000,5,Anjali Gupta
ORD-0145,04-10-2023,CUST-9670,Priya Singh,Central,Bhopal,Wearables,Samsung Galaxy Watch,1,10300,15,Priya Patel
ORD-0146,04-11-2023,CUST-3666,Manish Arora,East,Bhubaneswar,Laptops,Lenovo ThinkPad,1,63100,0,Priya Patel
ORD-0147,04-11-2023,CUST-4723,Kunal Dixit,South,Hyderabad,Smartphones,Xiaomi 13,1,32200,0,Amit Kumar
ORD-0148,05-01-2023,CUST-7626,Akash Pillai,West,Mumbai,Laptops,Acer Aspire,1,54100,5,Vikram Singh
ORD-0149,05-02-2023,CUST-0208,Arjun Nair,West,Mumbai,Tablets,Amazon Fire HD,1,32400,0,Rohan Mehta
ORD-0150,05-02-2023,CUST-7344,Rohan Mehta,West,Ahmedabad,Smartphones,Samsung Galaxy S23,1,47600,15,Rohan Mehta
ORD-0151,05-03-2023,CUST-3234,Nikhil Jain,Central,Indore,Wearables,Fitbit Versa 4,1,23200,0,Rahul Sharma
ORD-0152,05-03-2023,CUST-4559,Aarti Shetty,North,Delhi,Wearables,Mi Band 7,1,15900,20,Priya Patel
ORD-0153,05-03-2023,CUST-4234,Sanjay Joshi,South,Kochi,Accessories,Wireless Mouse,2,1300,10,Amit Kumar
ORD-0154,05-04-2023,CUST-3666,Manish Arora,South,Hyderabad,Smartphones,Samsung Galaxy S23,1,39900,0,Rahul Sharma
ORD-0155,05-04-2023,CUST-6769,Vikram Reddy,North,Lucknow,Wearables,Fitbit Versa 4,1,25500,10,Rohan Mehta
ORD-0156,05-05-2023,CUST-8896,Nisha Ghosh,West,Surat,Smartphones,Samsung Galaxy S23,1,44400,0,Anjali Gupta
ORD-0157,05-05-2023,CUST-8941,Harsh Sinha,Central,Bhopal,Smartphones,Samsung Galaxy S23,1,48600,25,Amit Kumar
ORD-0158,05-05-2023,CUST-0908,Gaurav Bhatt,East,Ranchi,Accessories,Webcam,1,2800,0,Priya Patel
ORD-0159,05-05-2023,CUST-4723,Kunal Dixit,North,Jaipur,Smartphones,Samsung Galaxy S23,1,27300,0,Anjali Gupta
ORD-0160,05-07-2023,CUST-6348,Shreya Pandey,West,Mumbai,Wearables,Fitbit Versa 4,1,21900,15,Anjali Gupta
ORD-0161,05-07-2023,CUST-7644,Siddharth Tiwari,Central,Nagpur,Laptops,ASUS VivoBook,2,63600,20,Vikram Singh
ORD-0162,05-07-2023,CUST-1014,Anjali Gupta,East,Bhubaneswar,Laptops,HP Pavilion,1,59700,25,Priya Patel
ORD-0163,05-07-2023,CUST-4921,Simran Kaur,Central,Indore,Laptops,HP Pavilion,1,48600,0,Kavya Iyer
ORD-0164,05-07-2023,CUST-0051,Sneha Sharma,South,Chennai,Wearables,Mi Band 7,1,24800,0,Priya Patel
ORD-0165,05-08-2023,CUST-3178,Ananya Bose,West,Surat,Laptops,Dell Inspiron,2,68000,0,Anjali Gupta
ORD-0166,05-08-2023,CUST-3523,Aditya Rao,North,Chandigarh,Smartphones,iPhone 14,1,60000,25,Anjali Gupta
ORD-0167,05-08-2023,CUST-7862,Meera Chawla,West,Ahmedabad,Accessories,USB-C Cable,3,1100,5,Vikram Singh
ORD-0168,05-08-2023,CUST-1930,Ritika Menon,North,Delhi,Smartphones,iPhone 14,1,49500,15,Kavya Iyer
ORD-0169,05-08-2023,CUST-9670,Priya Singh,North,Jaipur,Smartphones,OnePlus Nord,1,46300,0,Vikram Singh
ORD-0170,05-08-2023,CUST-7644,Siddharth Tiwari,East,Kolkata,Wearables,Fitbit Versa 4,1,24300,15,Priya Patel
ORD-0171,05-09-2023,CUST-6769,Vikram Reddy,East,Kolkata,Smartphones,Xiaomi 13,1,23700,5,Vikram Singh
ORD-0172,05-09-2023,CUST-3585,Rahul Kapoor,East,Patna,Laptops,HP Pavilion,1,62900,5,Anjali Gupta
ORD-0173,05-09-2023,CUST-8941,Harsh Sinha,West,Pune,Accessories,Webcam,2,1900,0,Sneha Reddy
ORD-0174,05-10-2023,CUST-4234,Sanjay Joshi,South,Chennai,Smartphones,Realme GT,1,34700,20,Amit Kumar
ORD-0175,05-10-2023,CUST-0051,Sneha Sharma,East,Bhubaneswar,Accessories,Wireless Mouse,2,2000,0,Sneha Reddy
ORD-0176,05-11-2023,CUST-0908,Gaurav Bhatt,North,Jaipur,Accessories,USB-C Cable,2,500,0,Kavya Iyer
ORD-0177,05-11-2023,CUST-9409,Mohit Saxena,South,Kochi,Tablets,Samsung Tab S8,1,46300,10,Vikram Singh
ORD-0178,05-11-2023,CUST-3979,Pooja Desai,Central,Nagpur,Wearables,Samsung Galaxy Watch,1,25000,20,Sneha Reddy
ORD-0179,05-11-2023,CUST-2605,Tanvi Kulkarni,South,Bangalore,Wearables,Mi Band 7,1,26500,0,Sneha Reddy
ORD-0180,05-12-2023,CUST-0908,Gaurav Bhatt,East,Kolkata,Smartphones,Xiaomi 13,1,33800,25,Kavya Iyer
ORD-0181,05-12-2023,CUST-1930,Ritika Menon,South,Hyderabad,Accessories,Wireless Mouse,3,2400,10,Priya Patel
ORD-0182,06-01-2023,CUST-4559,Aarti Shetty,North,Lucknow,Smartphones,Realme GT,1,43000,20,Sneha Reddy
ORD-0183,06-02-2023,CUST-1655,Divya Shah,Central,Nagpur,Accessories,Wireless Mouse,2,1700,15,Rahul Sharma
ORD-0184,06-02-2023,CUST-6769,Vikram Reddy,North,Jaipur,Laptops,Dell Inspiron,1,37700,10,Sneha Reddy
ORD-0185,06-02-2023,CUST-9409,Mohit Saxena,North,Jaipur,Tablets,Samsung Tab S8,1,25900,10,Vikram Singh
ORD-0186,06-02-2023,CUST-7344,Rohan Mehta,East,Kolkata,Smartphones,Realme GT,1,34100,0,Sneha Reddy
ORD-0187,06-03-2023,CUST-3234,Nikhil Jain,East,Kolkata,Accessories,Laptop Bag,3,1800,20,Amit Kumar
ORD-0188,06-03-2023,CUST-4996,Varun Chopra,East,Patna,Accessories,Webcam,2,1600,20,Kavya Iyer
ORD-0189,06-03-2023,CUST-4234,Sanjay Joshi,West,Pune,Tablets,Lenovo Tab P11,1,39200,15,Rahul Sharma
ORD-0190,06-04-2023,CUST-6316,Sameer Dutta,East,Kolkata,Laptops,Lenovo ThinkPad,1,53200,25,Priya Patel
ORD-0191,06-05-2023,CUST-5788,Neha Agarwal,Central,Raipur,Wearables,Fitbit Versa 4,2,29000,0,Priya Patel
ORD-0192,06-05-2023,CUST-0051,Sneha Sharma,West,Mumbai,Wearables,Samsung Galaxy Watch,1,20700,25,Anjali Gupta
ORD-0193,06-05-2023,CUST-7920,Sakshi Rathore,Central,Raipur,Laptops,Acer Aspire,1,66700,10,Rahul Sharma
ORD-0194,06-05-2023,CUST-3666,Manish Arora,North,Lucknow,Accessories,Mechanical Keyboard,2,2900,15,Rohan Mehta
ORD-0195,06-06-2023,CUST-1655,Divya Shah,South,Hyderabad,Smartphones,Xiaomi 13,1,59000,20,Amit Kumar
ORD-0196,06-08-2023,CUST-4996,Varun Chopra,South,Hyderabad,Accessories,Mechanical Keyboard,2,1700,0,Rohan Mehta
ORD-0197,06-08-2023,CUST-7955,Riya Malhotra,South,Kochi,Tablets,Lenovo Tab P11,1,47300,10,Kavya Iyer
ORD-0198,06-08-2023,CUST-6769,Vikram Reddy,North,Jaipur,Smartphones,OnePlus Nord,1,26900,0,Rahul Sharma
ORD-0199,06-08-2023,CUST-7145,Kavya Iyer,South,Chennai,Accessories,Wireless Mouse,3,1700,10,Kavya Iyer
ORD-0200,06-09-2023,CUST-4996,Varun Chopra,South,Chennai,Smartphones,iPhone 14,1,39200,0,Priya Patel
ORD-0201,06-09-2023,CUST-9848,Karan Verma,North,Jaipur,Smartphones,Xiaomi 13,1,39400,20,Vikram Singh
ORD-0202,06-10-2023,CUST-4921,Simran Kaur,North,Lucknow,Wearables,Apple Watch Series 8,1,30400,0,Anjali Gupta
ORD-0203,06-10-2023,CUST-8896,Nisha Ghosh,East,Kolkata,Accessories,Webcam,1,2200,5,Priya Patel
ORD-0204,06-10-2023,CUST-0208,Arjun Nair,East,Kolkata,Wearables,Samsung Galaxy Watch,1,24700,0,Vikram Singh
